counter,amount
1,343918
2,112499
3,60804
4,39260
5,27760
6,20827
7,16075
8,13011
9,11007
10,9104
11,7561
12,6723
13,5969
14,5353
15,4580
16,4127
17,3622
18,3452
19,3038
20,2799
21,2612
22,2407
23,2209
24,1970
25,1887
26,1708
27,1602
28,1556
29,1448
30,1276
31,1221
32,1123
33,1128
34,1097
35,1022
36,975
37,904
38,808
39,779
40,764
41,685
42,671
43,659
44,633
45,573
46,522
47,514
48,475
49,497
50,481
51,443
52,441
53,407
54,397
55,374
56,375
57,345
58,320
59,327
60,369
61,294
62,280
63,289
64,254
65,230
66,230
67,223
68,227
69,233
70,234
71,242
72,199
73,233
74,227
75,198
76,224
77,221
78,244
79,194
80,204
81,195
82,191
83,151
84,171
85,176
86,153
87,142
88,132
89,120
90,123
91,119
92,141
93,127
94,127
95,120
96,99
97,95
98,107
99,81
100,108
101,96
102,72
103,87
104,87
105,90
106,92
107,76
108,76
109,74
110,65
111,70
112,72
113,69
114,61
115,79
116,47
117,46
118,54
119,56
120,46
121,63
122,42
123,60
124,49
125,35
126,49
127,47
128,45
129,47
130,42
131,43
132,42
133,73
134,58
135,45
136,49
137,37
138,45
139,37
140,38
141,34
142,29
143,35
144,34
145,36
146,37
147,28
148,22
149,29
150,24
151,23
152,27
153,20
154,24
155,29
156,35
157,23
158,18
159,35
160,22
161,20
162,21
163,17
164,16
165,16
166,18
167,16
168,17
169,19
170,12
171,16
172,10
173,22
174,16
175,19
176,14
177,16
178,12
179,9
180,18
181,16
182,11
183,12
184,17
185,14
186,9
187,17
188,6
189,25
190,10
191,8
192,11
193,8
194,8
195,9
196,6
197,10
198,12
199,10
200,7
201,13
202,8
203,7
204,13
205,18
206,14
207,13
208,5
209,7
210,7
211,9
212,4
213,7
214,13
215,4
216,6
217,3
218,12
219,6
220,11
221,6
222,9
223,6
224,7
225,6
226,11
227,3
228,10
229,8
230,6
231,10
232,4
233,7
234,6
235,5
236,6
237,7
238,8
239,6
240,5
241,4
242,3
243,7
244,7
245,3
246,4
247,6
248,2
249,5
250,3
251,6
252,6
253,4
254,10
255,2
256,6
257,5
259,3
260,4
261,2
262,2
263,5
264,5
265,5
266,2
267,3
268,3
269,4
270,4
271,5
272,1
273,4
274,1
275,3
276,3
277,5
278,5
279,2
280,2
281,2
283,2
284,2
285,6
287,8
288,2
289,5
290,3
291,1
292,4
293,1
294,1
295,1
296,3
297,3
298,4
299,6
300,6
302,1
303,2
304,2
305,3
306,3
307,1
308,1
309,2
310,4
312,4
313,4
314,4
316,2
317,4
318,3
319,2
321,2
322,2
323,2
324,5
325,1
326,1
327,2
328,3
329,1
330,4
331,1
332,1
333,5
334,4
335,3
336,1
337,2
338,1
339,3
340,4
341,1
342,2
343,4
344,2
345,1
346,3
348,1
349,4
350,3
351,1
352,1
353,1
355,2
356,2
357,2
358,2
359,3
360,4
361,3
362,2
363,3
364,1
365,1
366,2
367,5
368,1
369,3
370,2
371,9
372,3
373,4
374,4
375,3
376,1
377,2
378,9
379,29
380,37
381,29
382,21
383,24
384,25
385,18
386,20
387,12
388,7
389,7
390,5
391,4
392,6
393,2
394,4
395,8
396,1
397,6
398,3
399,2
400,3
401,2
402,3
403,1
404,1
405,3
406,1
407,2
408,2
409,1
410,1
412,2
413,3
414,1
415,2
416,2
417,2
418,1
419,1
422,1
423,2
424,1
433,1
434,1
438,1
440,1
442,1
453,1
455,2
458,2
459,1
465,2
468,1
473,1
474,2
476,1
481,1
495,1
517,1
529,1
531,1
538,1
547,1
564,1
565,1
571,1
578,1
579,1
580,1
587,1
600,1
620,1
629,1
637,1
664,1
682,1
694,1
732,1
1066,1
