counter,amount
1,5888013
2,1513006
3,619207
4,351385
5,219781
6,152788
7,110795
8,84571
9,66285
10,53076
11,43791
12,36257
13,30648
14,26122
15,22668
16,20023
17,17258
18,14967
19,13295
20,12062
21,11001
22,9804
23,8937
24,8073
25,7408
26,6679
27,6280
28,5635
29,5186
30,4876
31,4454
32,4183
33,3905
34,3658
35,3418
36,3224
37,3107
38,2853
39,2592
40,2447
41,2346
42,2228
43,2038
44,2139
45,1805
46,1821
47,1729
48,1707
49,1530
50,1509
51,1324
52,1333
53,1250
54,1174
55,1242
56,1073
57,1120
58,1020
59,964
60,973
61,886
62,871
63,851
64,835
65,778
66,709
67,746
68,715
69,687
70,617
71,659
72,608
73,586
74,563
75,535
76,524
77,535
78,520
79,507
80,442
81,417
82,440
83,396
84,430
85,388
86,397
87,372
88,368
89,366
90,344
91,322
92,340
93,303
94,323
95,313
96,323
97,281
98,259
99,258
100,273
101,261
102,253
103,246
104,242
105,254
106,215
107,236
108,211
109,199
110,217
111,177
112,185
113,198
114,222
115,186
116,168
117,196
118,151
119,189
120,169
121,147
122,160
123,161
124,156
125,159
126,145
127,131
128,129
129,128
130,151
131,136
132,137
133,110
134,117
135,109
136,119
137,109
138,115
139,109
140,129
141,96
142,108
143,114
144,104
145,110
146,98
147,104
148,94
149,75
150,77
151,82
152,83
153,87
154,92
155,75
156,86
157,73
158,66
159,76
160,66
161,81
162,62
163,59
164,72
165,61
166,56
167,68
168,73
169,59
170,62
171,57
172,48
173,78
174,51
175,53
176,51
177,52
178,71
179,54
180,48
181,41
182,52
183,51
184,43
185,46
186,49
187,49
188,48
189,59
190,37
191,39
192,34
193,35
194,43
195,60
196,44
197,40
198,35
199,35
200,41
201,35
202,36
203,41
204,38
205,43
206,47
207,36
208,22
209,29
210,33
211,36
212,29
213,33
214,30
215,35
216,22
217,30
218,22
219,31
220,41
221,21
222,30
223,29
224,23
225,26
226,33
227,21
228,25
229,28
230,28
231,30
232,24
233,31
234,18
235,14
236,21
237,25
238,25
239,24
240,23
241,12
242,21
243,28
244,20
245,18
246,23
247,10
248,15
249,16
250,24
251,24
252,24
253,28
254,17
255,20
256,17
257,24
258,19
259,21
260,16
261,21
262,7
263,18
264,13
265,15
266,12
267,17
268,22
269,16
