counter,amount
1,961602
2,301271
3,150680
4,93457
5,64102
6,47476
7,37053
8,29631
9,24097
10,20160
11,16822
12,14168
13,12270
14,10585
15,9378
16,8412
17,7368
18,6695
19,6109
20,5197
21,4908
22,4500
23,3930
24,3768
25,3504
26,3241
27,2964
28,2841
29,2628
30,2343
31,2331
32,2140
33,2071
34,1862
35,1875
36,1649
37,1670
38,1483
39,1493
40,1389
41,1294
42,1304
43,1199
44,1145
45,1034
46,1028
47,1052
48,1022
49,931
50,899
51,830
52,868
53,790
54,736
55,699
56,683
57,660
58,650
59,631
60,610
61,595
62,599
63,569
64,555
65,556
66,478
67,484
68,456
69,457
70,433
71,425
72,450
73,423
74,371
75,410
76,382
77,338
78,388
79,347
80,332
81,301
82,338
83,289
84,281
85,302
86,284
87,253
88,257
89,251
90,282
91,233
92,255
93,241
94,217
95,216
96,196
97,255
98,202
99,226
100,203
101,179
102,211
103,201
104,174
105,209
106,180
107,202
108,159
109,147
110,135
111,153
112,152
113,152
114,136
115,143
116,140
117,141
118,127
119,136
120,122
121,130
122,118
123,125
124,124
125,112
126,128
127,111
128,107
129,111
130,100
131,106
132,97
133,99
134,113
135,84
136,78
137,61
138,94
139,75
140,81
141,72
142,84
143,67
144,65
145,79
146,74
147,83
148,68
149,74
150,71
151,65
152,71
153,53
154,55
155,71
156,47
157,65
158,57
159,61
160,69
161,52
162,52
163,60
164,43
165,61
166,63
167,56
168,57
169,38
170,44
171,56
172,40
173,45
174,54
175,54
176,41
177,38
178,55
179,40
180,34
181,38
182,46
183,25
184,30
185,37
186,42
187,30
188,41
189,43
190,36
191,40
192,37
193,31
194,36
195,32
196,31
197,21
198,34
199,21
200,40
201,29
202,23
203,31
204,20
205,35
206,25
207,32
208,35
209,28
210,21
211,23
212,22
213,24
214,15
215,27
216,23
217,16
218,18
219,28
220,28
221,27
222,20
223,31
224,18
225,21
226,28
227,18
228,20
229,11
230,25
231,16
232,13
233,22
234,24
235,23
236,14
237,18
238,11
239,13
240,17
241,18
242,11
243,16
244,18
245,13
246,16
247,15
248,13
249,19
250,8
251,12
252,3
253,12
254,14
255,11
256,7
257,11
258,14
259,18
260,16
261,17
262,10
263,10
264,6
265,7
266,10
267,14
268,13
269,8
270,9
271,10
272,9
273,8
274,9
275,13
276,10
277,11
278,7
279,10
280,10
281,12
282,20
283,13
284,10
285,10
286,15
287,8
288,11
289,7
290,5
291,7
292,9
293,13
294,7
295,9
296,7
297,8
298,8
299,3
300,5
301,10
302,10
303,3
304,5
305,6
306,9
307,2
308,7
309,7
310,10
311,6
312,5
313,9
314,6
315,12
316,4
317,9
318,5
319,7
320,10
321,8
322,5
323,4
324,4
325,4
326,4
327,11
328,6
329,3
330,3
331,1
332,5
333,5
334,1
335,5
336,3
337,4
338,4
339,5
340,4
341,8
342,6
343,2
344,4
345,5
346,5
347,3
348,5
349,5
350,5
351,9
352,5
353,1
354,4
355,2
356,6
357,5
358,9
359,5
360,7
361,3
362,9
363,5
364,5
366,8
367,5
368,4
369,3
370,5
371,3
372,5
373,5
374,3
375,2
376,3
377,1
378,4
379,2
380,3
381,2
382,2
383,2
385,1
386,8
387,2
388,4
389,1
390,3
391,5
392,3
393,2
394,2
395,3
396,3
397,2
398,3
399,2
400,2
401,6
402,3
403,3
404,2
405,5
406,5
407,5
408,2
409,2
410,2
411,2
412,4
413,1
414,4
415,2
416,4
417,5
418,5
419,1
420,3
421,2
422,5
423,2
424,3
425,5
427,2
431,2
433,3
435,1
436,2
438,1
439,3
440,2
441,1
442,1
443,3
444,2
446,2
447,2
448,2
449,1
450,2
451,1
452,1
453,4
455,2
456,1
459,2
460,1
464,1
465,1
466,1
467,3
468,2
469,1
470,2
471,2
473,1
474,2
475,2
476,1
477,1
478,3
479,2
480,1
481,4
484,4
485,1
487,3
488,1
489,1
490,1
491,2
492,1
493,2
494,1
495,2
496,2
499,1
500,1
502,2
506,1
507,2
514,1
516,1
518,1
519,1
520,1
521,1
522,2
524,1
525,2
526,1
528,3
529,2
531,1
537,1
538,1
542,1
543,2
544,2
545,1
548,1
549,2
550,1
551,1
552,1
554,1
560,2
562,1
563,3
564,1
565,1
566,3
569,1
570,3
571,3
572,2
578,1
581,1
582,1
583,1
584,1
585,1
586,1
587,3
588,1
591,1
592,1
596,1
597,1
599,1
600,1
604,2
606,1
607,2
611,1
616,1
617,2
618,1
619,2
620,1
622,1
627,1
632,1
633,1
636,1
643,1
645,1
648,1
649,1
655,1
659,1
662,1
664,1
668,1
670,3
671,1
672,1
673,1
675,2
676,2
677,1
681,1
684,1
685,1
686,1
688,1
689,1
693,1
704,1
706,1
710,1
714,1
715,1
724,1
731,1
732,2
738,2
745,1
746,1
750,1
752,1
754,1
755,1
758,2
759,1
763,1
769,1
781,1
785,1
799,1
802,1
810,1
815,1
819,1
821,2
830,1
836,1
841,1
847,1
853,1
857,1
866,1
867,2
870,1
872,1
880,1
882,1
888,1
889,1
902,1
914,1
919,1
925,1
932,1
976,1
992,1
1003,1
1017,1
1023,1
1024,1
1028,1
1376,1
