amount,counter
0,11
1,1622120
10,95806
100,7
101,5
102,5
103,7
104,9
105,7
106,6
107,9
108,4
109,2
11,65683
110,10
111,7
112,9
113,2
114,3
115,7
116,2
117,6
118,5
119,9
12,50198
120,5
121,1
122,3
123,3
125,2
126,4
127,5
128,3
129,2
13,34655
130,3
131,5
132,3
133,1
134,2
135,2
137,1
138,2
139,2
14,26639
140,5
141,2
142,3
143,7
144,2
148,3
149,1
15,19750
151,2
152,1
153,2
156,1
159,1
16,15171
169,1
17,11756
18,9438
19,7188
2,1834738
20,6106
21,4812
22,4201
23,3257
24,2777
25,2271
26,1879
27,1531
28,1363
29,1180
3,1465312
30,1025
31,860
32,768
33,653
34,592
344,1
35,493
36,456
37,407
38,375
39,327
4,1017098
40,307
41,295
42,245
43,240
44,205
45,251
46,192
47,173
48,169
49,148
5,614402
50,157
51,137
52,106
53,119
54,103
55,101
56,92
57,90
58,96
59,67
6,428681
60,72
61,85
62,60
63,64
64,52
65,63
66,37
67,54
68,36
69,38
7,269070
70,33
71,22
72,39
73,30
74,46
75,28
76,30
77,25
78,31
79,24
8,194627
80,15
81,25
82,16
83,14
84,19
85,13
86,16
87,15
88,20
89,9
9,129448
90,22
91,6
92,7
93,13
94,10
95,13
96,15
97,12
98,14
99,9
