number,counter
1,679287
10,7561
101,1
102,1
105,1
11,4370
112,1
114,1
119,1
12,2808
13,1918
139,1
14,1359
15,988
16,681
17,531
18,384
19,295
2,1052447
20,273
21,219
22,170
23,131
24,123
25,97
26,72
263,1
27,85
28,73
287,2
29,62
3,919178
30,59
31,31
32,37
33,35
34,30
35,20
36,21
37,21
38,14
39,13
4,544226
40,10
41,6
42,14
43,8
44,10
45,9
46,3
47,10
48,6
49,3
5,254555
50,5
51,2
52,4
53,1
54,2
55,6
56,4
57,8
58,2
59,2
6,113611
60,1
61,4
64,2
65,2
67,2
68,1
69,2
7,48640
70,1
71,1
74,1
75,2
77,2
78,1
79,1
8,24448
86,1
9,12833
92,1
94,1
95,1
96,1
99,1
